Fecha,Cantidad,Modelo,Color,Talla,Destino
2017-05-09 05:09:35.,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:46.,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:48.,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:57.,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:10:00.,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:10:05.,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:43.,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:50.,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:53.,5,ESTER,Rojo,S,Torre
2017-05-09 04:59:06.,55,TRAPECIO,Rojo,S,
2017-05-09 05:02:50.,55,TRAPECIO,Rojo,S,
2017-05-09 05:08:14.,55,TRAPECIO,Rojo,S,
2017-05-09 05:08:18.,5,TRAPECIO,Rojo,S,
2017-05-09 05:09:02.,5,TRAPECIO,Rojo,S,
2017-05-09 05:11:19.,54,TRAPECIO,Rojo,S,
2017-05-12 04:56:19.,3,ELIZABETH,Rojo,S,
2017-05-14 15:24:10.,12,ESTER,Rojo,L,
